publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B19876038,1935,Page 064,B19876038,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1935.b19876038.xml/10198760300650024.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Smallpox,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B19876038,1935,Page 104,B19876038,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1935.b19876038.xml/10198760301050046.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1934,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and croup,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B19876038,1935,Page 105,B19876038,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1935.b19876038.xml/10198760301060048.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under l week.,1-2 weeks.,2-3 weeks.,3-4 weeks.,Total under 4 weeks.,4 weeks & under 3 months.,3 months and under 6 months.,6 months and under 9 months.,9 months and under 12 months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,..,..,..,..,..,..,..,1,..,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B1987604X,1936,Page 066,B1987604X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1936.b1987604x.xml/10198760400670037.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1936,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B1987604X,1936,Page 072,B1987604X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1936.b1987604x.xml/10198760400730045.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Smallpox,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B1987604X,1936,Page 073,B1987604X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1936.b1987604x.xml/10198760400740046.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,Total cases notified.,Under 1 yr.,1—2.,2—3.,3—4.,4—5.,5—10.,10—15.,15—20.,20—35.,35—45.,45—65.,Over 65.,*Cases admitted to Hospital,Total Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,137,—,5,5,11,7,48,20,9,24,7,1,—,120,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B1987604X,1936,Page 106,B1987604X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1936.b1987604x.xml/10198760401070071.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1935,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and croup,1,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B1987604X,1936,Page 108,B1987604X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1936.b1987604x.xml/10198760401090073.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under 1 week,1-2 weeks,2-3 weeks,3-4 weeks,Total under 4 weeks,4 weeks & under 3 months,3 months and under 6 months,6 months and under 9 months,9 months and under 12 months,Total Deaths under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B19876051,1939,Page 031,B19876051,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1939.b19876051.xml/10198760500320016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1938,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,B19876051,1939,Page 034,B19876051,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Ilford.1939.b19876051.xml/10198760500350020.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease,Total cases notified,Under 1 year,1—2,2—3,3—4,4—5,5—10,10—15,15—20,20—35,35—45,45—65,Over 65,* Cases admitted to Hospital,Total Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,96,—,5,4,4,6,34,25,7,9,2,_,_,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington Borough,B18239195,1939,Page 003,B18239195,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Islington.1939.b18239195.xml/10182391900040000.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DISEASE.,,TOTALS .,Total Cases removed to Hospital.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,Notified,254,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235773,1930,Page 009,B18235773,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1930.b18235773.xml/10182357700080012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 25,February 22,March 22,April 19,May 17,June 14,July 12,August 9,September 6,October 4,November 1,",, 29",January 3 (5 weeks),Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,_,1,2,—,2,2,—,2,1,—,—,1,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235785,1931,Page 008,B18235785,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1931.b18235785.xml/10182357800070011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 31,February 28,March 28,April 25,May 23,June 20,July 18,August 15,September 12,October 10,November 7,December 5,January 2,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,—,2,—,—,1,1,—,1,—,—,1,—,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235797,1932,Page 009,B18235797,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1932.b18235797.xml/10182357900080016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 31,February 28,March 27,April 24,May 22,June 19,July 17,August 16,September 11,October 9,November 6,December 8,December 31,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,2,5,3,2,-,-,4,1,3,2,1,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235803,1933,Page 008,B18235803,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1933.b18235803.xml/10182358000070012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 28,February 25,March 25,April 22,May 20,June 17,July 15,August 12,September 9,October 7,November 4,December 2,December 30,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,1,—,4,3,—,2,4,2,2,1,"— ,",1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235815,1934,Page 008,B18235815,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1934.b18235815.xml/10182358100110011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 27,February 24,March 24,April 21,May 19,June 16,July 14,August 11,September 8,October 6,November 3,December 1,December 29,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,1,2,3,1,1,–,–,–,–,–,1,1,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235827,1935,Page 008,B18235827,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1935.b18235827.xml/10182358200070009.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 26,February 23,March 23,April 20,May 18,June 16,July 13,August 10,September 7,October 5,November 2,November 30,December 28,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,3,—,3,1,1,2,1,—,3,1,—,3,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235839,1936,Page 008,B18235839,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1936.b18235839.xml/10182358300070012.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 25,February 22,March 21,April 18,May 16,June 13,July 11,August 8,September 5,October 3,„ 31,November 28,January 2,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,4,—,1,1,—,—,—,1,—,1,2,—,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235839,1936,Page 010,B18235839,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1936.b18235839.xml/10182358300090017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,1st.,2nd.,3rd.,4th.,Total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,-,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235840,1937,Page 007,B18235840,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1937.b18235840.xml/10182358400060010.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 30,February 27,March 27,April 24,May 22,June 19,July 17,August 14,September 11,October 9,November 6,December 4,January 1,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,_,—,1,2,—,—,—,—,—,—,_,1,—,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Borough,B18235852,1938,Page 007,B18235852,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kensington.1938.b18235852.xml/10182358500060013.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Four weeks ending,January 29,February 26,March 26,April 23,May 21,June 18,July 16,August 13,September 10,October 8,November 5,December 3,31,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,—,—,3,—,—,1,3,—,—,—,—,—,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbury,b20274762,1933,Page 016,b20274762,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Kingsbury.1933.b20274762.xml/10202747600170007.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,Total at all ages.,Under 1 year of age.,1 and under 2.,2 and under 3.,3 and under 4.,4 and under 5.,5 and under 10.,10 and under 15.,15 and under 20.,20 and under 35.,35 and under 45.,45 and under 65.,65 and upwards.,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,11,-,-,1,-,1,5,-,2,2,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239596,1933,Page 039,B18239596,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1933.b18239596.xml/10182395900410029.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ante-natal Visits,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Special Visits (Measles, Diphtheria Prevention, etc.)",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239614,1935,Page 025,B18239614,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1935.b18239614.xml/10182396100230017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Under 1 week,1-2 weeks,2-3 weeks,3-4 weeks,Total under 1 month,1-3 months,3-6 months,6-9 months,9-12 months,Total Deaths under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,—,—,—,—,—,1,1,—,—,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239626,1936,Page 025,B18239626,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1936.b18239626.xml/10182396200230016.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Under 1 week,1-2 weeks,2-3 weeks,3-4 weeks,Total under 1 month,1-3 months,3-6 months,6-9 months,9-12 months,Total Deaths under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,—,—,—,—,—,—,—,1,—,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239626,1936,Page 026,B18239626,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1936.b18239626.xml/10182396200240018.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1936,1935,1934,Quinquennium 1931-1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria death-rate,0.05,0.05,0.15,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239626,1936,Page 080,B18239626,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1936.b18239626.xml/10182396200780046.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cases notified,"Attack-rate per 1,000",Deaths registered,Case mortality per 100,Cases removed tohospital,Per cent. of cases removed,Infected houses,Annual Average of cases notified 1921-1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,413,1.488,15,3.631,412,99.75,389,732.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239638,1937,Page 026,B18239638,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1937.b18239638.xml/10182396300240015.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Under 1 week,1-2 weeks,2-3 weeks,3-4 weeks,Total under 1 month,1-3 months,3-6 months,6-9 months,9-12 months,Total Deaths under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,—,—,—,—,—,—,1,—,—,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239638,1937,Page 027,B18239638,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1937.b18239638.xml/10182396300250017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1937,1936,1935,Quinquennium 1931-1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria death-rate,0.07,0.05,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239638,1937,Page 048,B18239638,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1937.b18239638.xml/10182396300460035.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Infantile Death Visits,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria Prevention Clinic Attendances,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B18239638,1937,Page 086,B18239638,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1937.b18239638.xml/10182396300840061.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cases notified,"Attack-rate per 1,000",Deaths registered,Case mortality per 100,Cases removed to hospital,Per cent of cases removed,Infected houses,Annual Average of cases notified 1921-1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,507,1.85,20,3.944,505,99.6,471,732.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B1823964X,1938,Page 026,B1823964X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1938.b1823964x.xml/10182396400240019.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Quinquennium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria death-rate,0.04,0.07,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth Borough,B1823964X,1938,Page 083,B1823964X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1930-1939.xml/Lambeth.1938.b1823964x.xml/10182396400810066.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cases notified,"Attackrate per 1,000",Deaths registered,Case mortality per 100,Cases removed to hospital,Per cent. of cases removed,Infected houses,Annual Average of cases notified 1921-1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
